,ID,3M Average,6M Average,1Y Average,3Y Average
121,MPMIUSMA Index,50.83333333,51.1,50.19166667,52.11944444
122,CNSTTMOM Index,-0.34116,0.24771,0.529857273,0.740632
123,NAPMPMI Index,48,48.55,48.1,51.28888889
124,NAPMPRIC Index,54,55.2,51.375,58.81944444
125,MPMIJPCA Index,51.6,51.56666667,51.30833333,51.13428571
126,MPMIJPSA Index,52.3,53.03333333,52.775,52.06857143
127,AUNAGDPC Index,,0.1,0.2,0.563636364
128,AUNAGDPY Index,,1.11118,1.57336,3.119832727
129,MPMICNCA Index,52.7,52.68333333,52.11666667,50.86111111
130,MPMICNSA Index,52.43333333,52.5,52.04166667,51.37222222
131,MPMIINCA Index,60.7,61,60.28333333,58.53714286
132,MPMIINSA Index,60.33333333,60.6,60.06666667,58.18
133,MPMIRUCA Index,51.03333333,51.65,53.10833333,51.16666667
134,MPMIRUSA Index,49.5,50.25,52.69166667,51.01944444
135,MPMIITCA Index,51.3,51.85,50.24166667,51.46666667
136,MPMIITSA Index,53.2,53.45,51.55,52.08611111
137,MPMIFRSA Index,49.66666667,49.5,47.425,51.55833333
138,MPMIFRCA Index,48.93333333,48.95,46.86666667,50.66666667
139,MPMIDESA Index,53.26666667,51.9,50.31666667,51.74444444
140,MPMIDECA Index,50.63333333,49.41666667,47.96666667,50.29166667
141,MPMIEZSA Index,52.63333333,52.15,50.26666667,52.23888889
142,MPMIEZCA Index,51.1,50.75,49,51.225
143,MPMIGBSA Index,52.5,53.23333333,52.19166667,53.44722222
144,MPMIGBCA Index,52.7,53,51.625,52.79722222
145,ARVSARTL Index,31075.66667,29847.83333,30348.33333,30995
146,BZIPTL% Index,1.3,0.7,0.490909091,0.168571429
147,BZIPYOY% Index,1.05,2.64,1.954545455,-0.36
148,USTBTOT Index,-74.0575,-72.033,-67.54081818,-72.42702857
149,MPMIBRCA Index,54.7,54.85,52.74166667,52.90833333
150,MPMIBRSA Index,55.5,54.93333333,52.89166667,53.74166667
151,CABROVER Index,4.6875,4.821428571,4.903846154,3.290540541
152,TMNOCHNG Index,-1.879865,-0.24982,-0.222325455,0.258923714
153,DGNOCHNG Index,1.039973333,0.891235,0.21722,0.416386667
154,DGNOXTCH Index,-0.081596667,0.085213333,0.054569167,0.1937375
155,KOGDPYOY Index,2.30438,2.786175,2.2641325,2.595234167
156,KOGDPQOQ Index,-0.21787,0.54112,0.5726475,0.510631667
157,JNLSUCTL Index,3.25,2.1,1.490909091,1.4
158,AUITGSB Index,5320.5,5620,7697.272727,9981.514286
159,GRIORTMM Index,1.1036,-0.01856,0.146109091,-0.551231143
160,MPMIGBXA Index,54.06666667,52.51666667,49.8,51.98055556
161,SACTGDP Index,,-1.2,-1.3,-0.336363636
162,SACTLVL Index,,-84591,-92326,-28433.09091
163,ADP CHNG Index,144.6666667,168,147,307.25
164,MPMIUSSA Index,55.03333333,53.4,52.19166667,52.28333333
165,MPMIUSCA Index,54.53333333,53.25,52.01666667,52.125
166,NAPMNMI Index,51.33333333,51.23333333,51.93333333,55.15833333
167,BZTBBALM Index,7450.025621,7226.554277,7971.91306,6305.849202
168,KOBPCB Index,10590.85,6937.24,6178.218182,3889.18
169,IDGFA Index,141.5214,140.86857,139.9860908,139.3711358
170,JNCICLEI Index,110.05,110.88,110.1909091,111.2142857
171,GRIPIMOM Index,-0.84271,-0.137084,-0.289583636,-0.183673143
172,FPIPYOY Index,-2.3668,-0.676112,0.141198182,0.131533714
173,FPIPMOM Index,-0.696315,-0.124674,-0.120306364,-0.013681429
174,ITNSSTN Index,0.093195,0.01874,-0.041644545,0.225263714
175,ITNSTY Index,-0.273215,0.402576,0.796107273,3.778417429
176,EUGNEMUQ Index,0.3,0.3,0.15,0.425
177,EUGNEMUY Index,0.6,0.55,0.35,2.3
178,IBREGPDM Index,0.733333333,0.368333333,0.340833333,0.144444444
179,CANLNETJ Index,7.5,25.23333333,28.79166667,42.35555556
180,CANLXEMR Index,6.333333333,6.166666667,5.925,5.65
181,NFP TCH Index,169.6666667,193.8333333,209.3333292,332.2777744
182,USMMMNCH Index,-1.666666667,-2.166666667,1.166666667,16.66666639
183,USURTOT Index,4.133333333,4,3.875,3.808333333
184,CNGFOREX Index,3236.92299,3230.512315,3199.047498,3172.756917
185,SRRGGDPY Index,-0.4,-1.05,-2.4,3.347553206
186,JGDPAGDP Index,3.1,0.4,-0.725,0.941666667
187,JGDPQGDP Index,0.8,0.1,-0.175,0.233333333
188,JGDFDEFY Index,3,3.2,3.875,1.875
189,JNBPAB Index,2191.728515,2495.364598,2120.073172,1510.455108
190,JNBPTRD Index,-276.27658,-217.710502,-367.0790927,-736.5565426
191,CHEFTYOY Index,-1,-1.833333333,-2.275,1.602777778
192,CNCPIYOY Index,0.333333333,0.35,0.033333333,0.958333333
193,CNMS2YOY Index,6.5,7.283333333,8.608333333,10.11666667
194,CNMS1YOY Index,-5.266666667,-2.483333333,-0.016666667,2.952777778
195,MXBWMOM Index,135.2645,134.7615714,133.2136923,119.836027
196,MXBWCORE Index,134.5667661,134.1036517,132.7237438,119.0645527
197,MXCPCHNG Index,0.413203333,0.303891667,0.452954167,0.499735
198,MXCPYOY Index,5.07633,4.783981667,4.660175,6.318978333
199,MXCCCHNG Index,0.23612,0.307845,0.33122,0.494978333
200,MXBWYOY Index,5.110573309,4.833059042,4.708577912,6.282424065
201,JMNSM2Y Index,1.566666667,1.966666667,2.183333333,2.911111111
202,JMNSM3Y Index,1.066666667,1.416666667,1.6,2.425
203,WMCCCON% Index,0.121923667,0.3965535,0.17769175,-0.692246639
204,NABSCONF Index,0.655254676,0.96393397,-0.296703006,2.768577277
205,NABSCOND Index,5.45705802,7.252656252,9.506417777,13.91735828
206,UKAWMWHO Index,5.1,5.54,6.290909091,6.217142857
207,UKUEILOR Index,4.3,4.3,4.136363636,4.051428571
208,UKUER Index,4.466666667,4.283333333,4.175,4.311111111
209,UKUEMOM Index,74.36666667,39.23333333,21.29166667,-11.98333333
210,JNMTOY Index,7.433333333,0.266666667,-7.083333333,9.506541667
211,TUIOSAMM Index,-0.179865,-0.591404,-0.311044545,0.231922286
212,TUIOWDYY Index,-2.284745,2.088928,2.487972727,4.035685429
213,ITPRSANM Index,0.52771,-0.102594,-0.175871818,-0.139748571
214,ITPRWAY Index,-2.9787,-3.139382,-2.705073636,-0.556788
215,CNFREXPY Index,7.7,3.6,0.875,5.433333333
216,CNFRIMPY Index,2.2,0.833333333,0.783333333,2.744444444
217,CNFRBAL$ Index,88.66458333,72.311875,71.6662375,70.91367306
218,SFPMNSAY Index,-3.2073,-0.864758,0.290212727,-0.154344571
219,SFPMMOM Index,-2.05155,-0.36107,-0.085441818,0.242178571
220,BZPIIPCY Index,4.22,4.13,4.434166667,6.888888889
221,BZPIIPCM Index,0.35,0.403333333,0.3675,0.499722222
222,KOEAUERS Index,2.7,2.716666667,2.741666667,2.833333333
223,UKIPIMOM Index,0.55,0.26,-0.036363636,-0.045714286
224,UKIPIYOY Index,-0.5,-0.14,0.090909091,-2.757142857
225,UKMPIMOM Index,0.7,0.2,-0.027272727,-0.014285714
226,UKMPIYOY Index,-0.55,0.48,1.145454545,-1.62
227,UKTBALEE Index,-18743.5,-17242.4,-15818.63636,-16469.48571
228,UKTBTTBA Index,-5547,-4256.6,-3133.454545,-3725.771429
229,MXIPTYOY Index,0.177685,1.218586,2.434809091,3.252670571
230,CPI CHNG Index,0.034826667,0.206255,0.240566667,0.396063611
231,CPUPXCHG Index,0.131023333,0.233715,0.263945,0.375741944
232,CPI YOY Index,3.045053333,3.18718,3.275775,5.518511917
233,CPI XYOY Index,3.285766667,3.503511667,3.7788875,4.977224444
234,RUCPIMOM Index,0.84,0.681666667,0.730833333,0.76
235,RUCPIYOY Index,8.673333333,8.211666667,7.454166667,9.225555556
236,RUCPBI Index,0.616666667,0.616666667,0.69,0.798611111
237,ARNCNINX Index,4.266666667,7.633333333,11.50833333,7.536111111
238,ARNCYINX Index,270.4333333,277.4666667,224.725,126.6916667
239,UKRXPBAL Index,-17.38546346,-12.52606507,-28.88375693,5.894680444
240,JNWSDYOY Index,2.833333333,1.883333333,1.591666667,6.069444444
241,TUCALNEW Index,-0.305,-2.7546,-1.771545455,-2.941714286
242,INMTEXUY Index,3.394493333,3.741931667,1.70366,9.512338889
243,BZRTRYOY Index,5.9,5.54,3.781818182,1.205714286
244,BZRTRETM Index,-0.05,0.36,0.354545455,0.062857143
245,INFUTOTY Index,4.475773333,4.699973333,5.1047675,5.729384722
246,INPIINDY Index,5.21019,5.293252,6.058855455,5.207151714
247,EURR002W Index,4.3125,4.392857143,4.423076923,2.452702703
248,EUORMARG Index,4.5625,4.642857143,4.673076923,2.702702703
249,EUORDEPO Index,3.8125,3.892857143,3.923076923,1.952702703
250,CAHOMOM Index,-13.290165,-0.93306,-0.633297273,0.467416286
251,FDIDFDMO Index,0.098373333,0.231365,0.187646667,0.352560556
252,FDIDSGMO Index,0.208576667,0.25581,0.200034167,0.345046389
253,FDIUFDYO Index,2.507503333,2.239431667,1.760806667,5.547898639
254,FDIUSGYO Index,2.722,2.518781667,2.323979167,5.103529778
255,FDDSSD Index,-220.6123333,-164.1733333,-133.2188333,-133.9753889
256,JNCAPMOM Index,0.51474,0.429874,-0.466206364,-0.153421714
257,RREFKANN Index,17,16.4,15.33333333,11.70192308
258,BZEAMOM% Index,0.890655,0.489594,0.325984545,0.275903714
259,IMP1CHNG Index,6.67E-05,0.273693333,0.13783,0.146812778
260,RUDPRYOY Index,4,4.7,5,2.533333333
261,CHVAIOY Index,5.333333333,5.44,5.42,4.16
262,CHVAICY Index,6.033333333,6.25,5.309090909,5.490909091
263,CNRSCYOY Index,2.8,2.76,4.9,3.262486282
264,CNRSACMY Index,3.766666667,4.266666667,5.518181818,5.689929869
265,CNFAYOY Index,3.833333333,4.066666667,3.590909091,5.23030303
266,SRCPIYOY Index,1.527566667,1.604415,1.6335175,2.025711944
267,UKRMNAPM Index,0.133333333,0.65,0.05,0.288888889
268,INFINFY Index,2.713466667,1.632561667,0.8833375,6.226560833
